|     name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
|   buffer |    00:00:00 |  -90:00:00. |    99 |   3x1200 |  3.0 |  1200.0 | 2025-01-10 02:24:00.160 |
|  Feige11 | 01:04:21.60 | +04:13:37.0 | 12.06 |    1x270 |  1.0 |   270.0 | 2025-01-10 03:35:30.160 |
|  2024xal | 03:44:01.35 | -14:21:44.4 | 17.17 |   6x1200 |  6.0 |  1200.0 | 2025-01-10 03:45:00.160 |
| 2024abqv | 06:54:33.77 | +50:21:00.8 | 15.65 |    4x900 |  4.0 |   900.0 | 2025-01-10 06:06:15.160 |
| 2024aeee | 08:14:51.31 | +73:34:46.1 | 15.48 |    4x900 |  4.0 |   900.0 | 2025-01-10 07:21:00.160 |
| 2024aecx | 11:05:49.55 | -00:02:05.4 | 14.21 |    3x600 |  3.0 |   600.0 | 2025-01-10 08:35:45.160 |
|   2025gj | 09:44:20.27 | -21:16:22.3 | 17.00 |   5x1200 |  5.0 |  1200.0 | 2025-01-10 09:17:15.160 |
| BD262606 | 14:49:02.35 | +25:42:09.1 |   9.7 |    1x135 |  1.0 |   135.0 | 2025-01-10 11:15:15.160 |
|  2024iss | 12:59:06.14 | +28:48:42.5 |  18.3 |   6x1200 |  6.0 |  1200.0 | 2025-01-10 11:22:30.160 |
|  Feige34 | 10:39:36.74 | +43:06:09.3 |  11.2 |    1x180 |  1.0 |   180.0 | 2025-01-10 13:43:45.160 |
|      end |    00:00:00 |  -90:00:00. |    99 |      1x1 |  1.0 |     1.0 | 2025-01-10 13:51:45.160 |
