|      name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
|    buffer |    00:00:00 |  -90:00:00. |   99 |   0x1200 |  0.0 |  1200.0 | 2025-08-03 04:34:48.696 |
| BD33d2642 | 15:51:59.86 | +32:56:54.8 | 10.8 |    1x180 |  1.0 |   180.0 | 2025-08-03 04:36:33.696 |
|   2025ngs | 15:35:16.68 | +30:51:55.5 | 16.8 |   4x1200 |  4.0 |  1200.0 | 2025-08-03 04:44:33.696 |
|   2025qtt | 19:31:06.01 | +54:06:03.7 | 17.1 |   5x1200 |  5.0 |  1200.0 | 2025-08-03 06:19:18.696 |
|   2025rvv | 20:48:10.33 | -24:21:34.1 | 16.3 |    2x900 |  2.0 |   900.0 | 2025-08-03 08:17:18.696 |
|   2025qpk | 20:44:37.56 | -01:43:12.6 | 14.7 |    3x600 |  3.0 |   600.0 | 2025-08-03 08:55:33.696 |
|   2025rbs | 22:37:03.66 | +34:25:08.0 | 12.4 |    3x200 |  3.0 |   200.0 | 2025-08-03 09:37:03.696 |
|   2025pjx | 00:53:25.43 | +29:16:41.7 | 17.1 |   5x1200 |  5.0 |  1200.0 | 2025-08-03 09:58:33.696 |
|   HD19445 | 03:08:25.86 | +26:20:05.7 |  8.1 |     1x40 |  1.0 |    40.0 | 2025-08-03 11:56:33.696 |
|       end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2025-08-03 12:02:13.696 |
